index,category,original_text,normalized_text,model,voice,audio_path,status
208,Sports score,The tennis set was 6-4.,The tennis set was six to four.,Kokoro-82M,af_heart,af_heart\Sports_score\208.wav,generated
209,Sports score,The hockey score was 5-3.,The hockey score was five to three.,Kokoro-82M,af_heart,af_heart\Sports_score\209.wav,generated
210,Sports score,The baseball game was 4-2.,The baseball game was four to two.,Kokoro-82M,af_heart,af_heart\Sports_score\210.wav,generated
211,Sports score,The football score is 28-14.,The football score is twenty eight to fourteen.,Kokoro-82M,af_heart,af_heart\Sports_score\211.wav,generated
212,Sports score,The volleyball set was 25-23.,The volleyball set was twenty five to twenty three.,Kokoro-82M,af_heart,af_heart\Sports_score\212.wav,generated
213,Sports score,The rugby match ended 17-12.,The rugby match ended seventeen to twelve.,Kokoro-82M,af_heart,af_heart\Sports_score\213.wav,generated
214,Sports score,The cricket score was 320-6.,The cricket score was three hundred twenty for six.,Kokoro-82M,af_heart,af_heart\Sports_score\214.wav,generated
215,Sports score,The badminton game was 21-19.,The badminton game was twenty one to nineteen.,Kokoro-82M,af_heart,af_heart\Sports_score\215.wav,generated
216,Sports score,The boxing match was scored 116-112.,The boxing match was scored one hundred sixteen to one hundred twelve.,Kokoro-82M,af_heart,af_heart\Sports_score\216.wav,generated
217,Sports score,The golf score was 3 under par.,The golf score was three under par.,Kokoro-82M,af_heart,af_heart\Sports_score\217.wav,generated
218,Sports score,The final result was 10-7-3.,The final result was ten seven three.,Kokoro-82M,af_heart,af_heart\Sports_score\218.wav,generated
219,Sports score,The race time was 2:15:30.,The race time was two hours fifteen minutes thirty seconds.,Kokoro-82M,af_heart,af_heart\Sports_score\219.wav,generated
220,Sports score,The swimming record is 52.43 seconds.,The swimming record is fifty two point four three seconds.,Kokoro-82M,af_heart,af_heart\Sports_score\220.wav,generated
221,Mathematical Expression,The equation is 2 + 2 = 4.,The equation is two plus two equals four.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\221.wav,generated
222,Mathematical Expression,The result of 10 ÷ 2 is 5.,The result of ten divided by two is five.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\222.wav,generated
223,Mathematical Expression,The formula is x² + y² = z².,The formula is x squared plus y squared equals z squared.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\223.wav,generated
224,Mathematical Expression,The calculation is 7 × 8 = 56.,The calculation is seven times eight equals fifty six.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\224.wav,generated
225,Mathematical Expression,The expression √16 = 4.,The expression square root of sixteen equals four.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\225.wav,generated
226,Mathematical Expression,The inequality is 3 < 5.,The inequality is three is less than five.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\226.wav,generated
227,Mathematical Expression,The sum of 1 + 1 is 2.,The sum of one plus one is two.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\227.wav,generated
228,Mathematical Expression,The product of 6 × 9 is 54.,The product of six times nine is fifty four.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\228.wav,generated
229,Mathematical Expression,The fraction ½ equals 0.5.,The fraction one half equals zero point five.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\229.wav,generated
230,Mathematical Expression,The equation 3x + 5 = 14.,The equation three x plus five equals fourteen.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\230.wav,generated
231,Mathematical Expression,The value of π is approximately 3.14.,The value of pi is approximately three point one four.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\231.wav,generated
232,Mathematical Expression,The exponent is 2³ = 8.,The exponent is two cubed equals eight.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\232.wav,generated
233,Mathematical Expression,The ratio is 4:3.,The ratio is four to three.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\233.wav,generated
234,Mathematical Expression,The percentage is 25%.,The percentage is twenty five percent.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\234.wav,generated
235,Mathematical Expression,The average is (5 + 10 + 15) ÷ 3 = 10.,The average is five plus ten plus fifteen divided by three equals ten.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\235.wav,generated
236,Mathematical Expression,The derivative of x² is 2x.,The derivative of x squared is two x.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\236.wav,generated
237,Mathematical Expression,The integral of 2x is x² + C.,The integral of two x is x squared plus C.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\237.wav,generated
238,Mathematical Expression,The probability is 1 in 6.,The probability is one in six.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\238.wav,generated
239,Mathematical Expression,The slope is Δy/Δx.,The slope is delta y over delta x.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\239.wav,generated
240,Mathematical Expression,The limit as x approaches 0 is 1.,The limit as x approaches zero is one.,Kokoro-82M,af_heart,af_heart\Mathematical_Expression\240.wav,generated
241,URL or Email,Visit https://www.example.com.,Visit h t t p s colon slash slash w w w dot example dot com.,Kokoro-82M,af_heart,af_heart\URL_or_Email\241.wav,generated
242,URL or Email,Email me at john.doe@example.com.,Email me at john dot doe at example dot com.,Kokoro-82M,af_heart,af_heart\URL_or_Email\242.wav,generated
243,URL or Email,The website is http://test.org.,The website is h t t p colon slash slash test dot org.,Kokoro-82M,af_heart,af_heart\URL_or_Email\243.wav,generated
244,URL or Email,Check out https://news.bbc.co.uk.,Check out h t t p s colon slash slash news dot b b c dot co dot u k.,Kokoro-82M,af_heart,af_heart\URL_or_Email\244.wav,generated
245,URL or Email,Contact support@company.com.,Contact support at company dot com.,Kokoro-82M,af_heart,af_heart\URL_or_Email\245.wav,generated
246,URL or Email,The link is www.website.net.,The link is w w w dot website dot net.,Kokoro-82M,af_heart,af_heart\URL_or_Email\246.wav,generated
247,URL or Email,Follow us on twitter.com/username.,Follow us on twitter dot com slash username.,Kokoro-82M,af_heart,af_heart\URL_or_Email\247.wav,generated
248,URL or Email,The portal is at https://login.example.org.,The portal is at h t t p s colon slash slash login dot example dot org.,Kokoro-82M,af_heart,af_heart\URL_or_Email\248.wav,generated
249,URL or Email,Send files to ftp://ftp.server.com.,Send files to f t p colon slash slash f t p dot server dot com.,Kokoro-82M,af_heart,af_heart\URL_or_Email\249.wav,generated
250,URL or Email,Visit https://www.mediacityuk.co.uk.,Visit h t t p s colon slash slash media city u k dot co dot u k.,Kokoro-82M,af_heart,af_heart\URL_or_Email\250.wav,generated
251,URL or Email,Visit example.com/page1.,Visit example dot com slash page one.,Kokoro-82M,af_heart,af_heart\URL_or_Email\251.wav,generated
252,URL or Email,The blog is at blog.site.io.,The blog is at blog dot site dot i o.,Kokoro-82M,af_heart,af_heart\URL_or_Email\252.wav,generated
253,URL or Email,Subscribe at newsletter@service.com.,Subscribe at newsletter at service dot com.,Kokoro-82M,af_heart,af_heart\URL_or_Email\253.wav,generated
254,URL or Email,The download link is bit.ly/123abc.,The download link is bit dot l y slash one two three a b c.,Kokoro-82M,af_heart,af_heart\URL_or_Email\254.wav,generated
255,URL or Email,The forum is forum.example.org.,The forum is forum dot example dot org.,Kokoro-82M,af_heart,af_heart\URL_or_Email\255.wav,generated
256,URL or Email,The API docs are at api.dev/v2.,The A P I docs are at a p i dot dev slash v two.,Kokoro-82M,af_heart,af_heart\URL_or_Email\256.wav,generated
257,URL or Email,Email feedback to contact@site.gov.,Email feedback to contact at site dot gov.,Kokoro-82M,af_heart,af_heart\URL_or_Email\257.wav,generated
258,URL or Email,The repository is github.com/user/repo.,The repository is github dot com slash user slash repo.,Kokoro-82M,af_heart,af_heart\URL_or_Email\258.wav,generated
259,URL or Email,The login page is secure.login.example.,The login page is secure dot login dot example.,Kokoro-82M,af_heart,af_heart\URL_or_Email\259.wav,generated
260,URL or Email,The support email is help@service.io.,The support email is help at service dot i o.,Kokoro-82M,af_heart,af_heart\URL_or_Email\260.wav,generated
261,Hashtag or Mention,Follow #TravelTips for advice.,Follow hashtag travel tips for advice.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\261.wav,generated
262,Hashtag or Mention,The trend is #ThrowbackThursday.,The trend is hashtag throwback thursday.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\262.wav,generated
263,Hashtag or Mention,Mention @username in your post.,Mention at username in your post.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\263.wav,generated
264,Hashtag or Mention,Join the conversation with #ClimateChange.,Join the conversation with hashtag climate change.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\264.wav,generated
265,Hashtag or Mention,Tag @officialpage for features.,Tag at official page for features.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\265.wav,generated
266,Hashtag or Mention,The campaign uses #SaveThePlanet.,The campaign uses hashtag save the planet.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\266.wav,generated
267,Hashtag or Mention,Reply to @customer_support.,Reply to at customer support.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\267.wav,generated
268,Hashtag or Mention,The event hashtag is #TechConf2023.,The event hashtag is hashtag tech conf twenty twenty three.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\268.wav,generated
269,Hashtag or Mention,Follow @news for updates.,Follow at news for updates.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\269.wav,generated
270,Hashtag or Mention,The challenge is #30DayFitness.,The challenge is hashtag thirty day fitness.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\270.wav,generated
271,Hashtag or Mention,Share your story with #MyJourney.,Share your story with hashtag my journey.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\271.wav,generated
272,Hashtag or Mention,The winner is @user123.,The winner is at user one two three.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\272.wav,generated
273,Hashtag or Mention,Use #Foodie for restaurant reviews.,Use hashtag foodie for restaurant reviews.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\273.wav,generated
274,Hashtag or Mention,The poll is by @survey_team.,The poll is by at survey team.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\274.wav,generated
275,Hashtag or Mention,The movement is #GoGreen.,The movement is hashtag go green.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\275.wav,generated
276,Hashtag or Mention,Tag @friends in your photos.,Tag at friends in your photos.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\276.wav,generated
277,Hashtag or Mention,The contest uses #PhotoOfTheDay.,The contest uses hashtag photo of the day.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\277.wav,generated
278,Hashtag or Mention,Follow @influencer for tips.,Follow at influencer for tips.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\278.wav,generated
279,Hashtag or Mention,The community is #BookLovers.,The community is hashtag book lovers.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\279.wav,generated
280,Hashtag or Mention,Reply with #YesOrNo.,Reply with hashtag yes or no.,Kokoro-82M,af_heart,af_heart\Hashtag_or_Mention\280.wav,generated
281,Abbreviation,Dr. Smith will see you now.,Doctor Smith will see you now.,Kokoro-82M,af_heart,af_heart\Abbreviation\281.wav,generated
282,Abbreviation,,,Kokoro-82M,af_heart,af_heart\Abbreviation\282.wav,error: Kokoro returned no audio.
283,Abbreviation,Prof. Johnson teaches biology.,Professor Johnson teaches biology.,Kokoro-82M,af_heart,af_heart\Abbreviation\283.wav,generated
284,Abbreviation,The store is on Main St.,The store is on Main Street.,Kokoro-82M,af_heart,af_heart\Abbreviation\284.wav,generated
285,Abbreviation,St. Patrick's Day is a public holiday in Ireland.,Saint Patrick's Day is a public holiday in Ireland.,Kokoro-82M,af_heart,af_heart\Abbreviation\285.wav,generated
286,Abbreviation,Mr. and Mrs. Jones are having a heated argument.,Mister and Missus Jones are having a heated argument.,Kokoro-82M,af_heart,af_heart\Abbreviation\286.wav,generated
287,Abbreviation,The document is from Jan. 2023.,The document is from January twenty twenty three.,Kokoro-82M,af_heart,af_heart\Abbreviation\287.wav,generated
288,Abbreviation,"He bought a used car, incl. insurance.","He bought a used car, including insurance.",Kokoro-82M,af_heart,af_heart\Abbreviation\288.wav,generated
289,Abbreviation,The lab is run by Dr. Lee.,The lab is run by Doctor Lee.,Kokoro-82M,af_heart,af_heart\Abbreviation\289.wav,generated
290,Abbreviation,The office is on 5th Ave.,The office is on Fifth Avenue.,Kokoro-82M,af_heart,af_heart\Abbreviation\290.wav,generated
291,Abbreviation,The recipe requires 2 tsp salt.,The recipe requires two teaspoons salt.,Kokoro-82M,af_heart,af_heart\Abbreviation\291.wav,generated
292,Abbreviation,The conference is in Dec.,The conference is in December.,Kokoro-82M,af_heart,af_heart\Abbreviation\292.wav,generated
293,Abbreviation,"Johnson & Co., Inc. is expanding overseas.",Johnson and Company Inc is expanding overseas.,Kokoro-82M,af_heart,af_heart\Abbreviation\293.wav,generated
294,Abbreviation,The book was written by J.K. Rowling.,The book was written by J K Rowling.,Kokoro-82M,af_heart,af_heart\Abbreviation\294.wav,generated
295,Abbreviation,The meeting will last approx. 45 min.,The meeting will last approximately forty five minutes.,Kokoro-82M,af_heart,af_heart\Abbreviation\295.wav,generated
296,Abbreviation,The game tonight is Lakers vs. Celtics.,The game tonight is Lakers versus Celtics.,Kokoro-82M,af_heart,af_heart\Abbreviation\296.wav,generated
297,Abbreviation,The bottle holds 12 oz.,The bottle holds twelve ounces.,Kokoro-82M,af_heart,af_heart\Abbreviation\297.wav,generated
298,Abbreviation,"The event is on Fri., Nov. 10.",The event is on Friday November tenth.,Kokoro-82M,af_heart,af_heart\Abbreviation\298.wav,generated
299,Abbreviation,The doctor's name is Dr. Brown.,The doctor's name is Doctor Brown.,Kokoro-82M,af_heart,af_heart\Abbreviation\299.wav,generated
300,Abbreviation,The meeting is in Rm. 205.,The meeting is in Room two zero five.,Kokoro-82M,af_heart,af_heart\Abbreviation\300.wav,generated
301,Initialism or Acronym,The USA won the gold medal.,The U S A won the gold medal.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\301.wav,generated
302,Initialism or Acronym,She works at the FBI.,She works at the F B I.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\302.wav,generated
303,Initialism or Acronym,The event is sponsored by NASA.,The event is sponsored by Nasa.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\303.wav,generated
304,Initialism or Acronym,The report was filed with the IRS.,The report was filed with the I R S.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\304.wav,generated
305,Initialism or Acronym,The CIA operates overseas.,The C I A operates overseas.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\305.wav,generated
306,Initialism or Acronym,The UN held a meeting.,The U N held a meeting.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\306.wav,generated
307,Initialism or Acronym,The DJ played great music.,The D J played great music.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\307.wav,generated
308,Initialism or Acronym,The CEO announced a new policy.,The C E O announced a new policy.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\308.wav,generated
309,Initialism or Acronym,The ATM is out of service.,The A T M is out of service.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\309.wav,generated
310,Initialism or Acronym,The EU passed new regulations.,The E U passed new regulations.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\310.wav,generated
311,Initialism or Acronym,The UK left the EU.,The U K left the E U.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\311.wav,generated
312,Initialism or Acronym,The FDA approved the drug.,The F D A approved the drug.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\312.wav,generated
313,Initialism or Acronym,The CD was scratched.,The C D was scratched.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\313.wav,generated
314,Initialism or Acronym,The BBC reported the news.,The B B C reported the news.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\314.wav,generated
315,Initialism or Acronym,The PC crashed.,The P C crashed.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\315.wav,generated
316,Initialism or Acronym,The UFO sighting was unexplained.,The U F O sighting was unexplained.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\316.wav,generated
317,Initialism or Acronym,The DVD is still in the machine.,The D V D is still in the machine.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\317.wav,generated
318,Initialism or Acronym,The NFL season starts soon.,The NFL season starts soon.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\318.wav,generated
319,Initialism or Acronym,The AI system is learning.,The A I system is learning.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\319.wav,generated
320,Initialism or Acronym,The GPS guided us home.,The G P S guided us home.,Kokoro-82M,af_heart,af_heart\Initialism_or_Acronym\320.wav,generated
321,ISBN,The ISBN is 978-3-16-148410-0.,The I S B N is nine seven eight three one six one four eight four one zero zero.,Kokoro-82M,af_heart,af_heart\ISBN\321.wav,generated
322,ISBN,The book's ISBN-13 is 978-0-13-468599-1.,The book's I S B N thirteen is nine seven eight zero one three four six eight five nine nine one.,Kokoro-82M,af_heart,af_heart\ISBN\322.wav,generated
323,ISBN,The ISBN-10 is 0-306-40615-2.,The I S B N ten is zero three zero six four zero six one five two.,Kokoro-82M,af_heart,af_heart\ISBN\323.wav,generated
324,ISBN,Check the ISBN 978-1-56619-909-4.,Check the I S B N nine seven eight one five six six one nine nine zero nine four.,Kokoro-82M,af_heart,af_heart\ISBN\324.wav,generated
325,ISBN,The ISBN for the manual is 978-0-7356-4871-9.,The I S B N for the manual is nine seven eight zero seven three five six four eight seven one nine.,Kokoro-82M,af_heart,af_heart\ISBN\325.wav,generated
326,ISBN,The ISBN-13: 978-1-4028-9462-6.,The I S B N thirteen: nine seven eight one four zero two eight nine four six two six.,Kokoro-82M,af_heart,af_heart\ISBN\326.wav,generated
327,ISBN,The reference ISBN is 0-201-63361-2.,The reference I S B N is zero two zero one six three three six one two.,Kokoro-82M,af_heart,af_heart\ISBN\327.wav,generated
328,ISBN,The textbook's ISBN is 978-0-321-96551-4.,The textbook's I S B N is nine seven eight zero three two one nine six five five one four.,Kokoro-82M,af_heart,af_heart\ISBN\328.wav,generated
329,ISBN,The ISBN-10: 1-56619-909-3.,The I S B N ten: one five six six one nine nine zero nine three.,Kokoro-82M,af_heart,af_heart\ISBN\329.wav,generated
330,ISBN,The novel's ISBN is 978-0-7432-7356-5.,The novel's I S B N is nine seven eight zero seven four three two seven three five six five.,Kokoro-82M,af_heart,af_heart\ISBN\330.wav,generated
331,ISBN,The ISBN 978-0-262-03384-8 is valid.,The I S B N nine seven eight zero two six two zero three three eight four eight is valid.,Kokoro-82M,af_heart,af_heart\ISBN\331.wav,generated
332,ISBN,The ISBN-13: 978-1-59059-811-1.,The I S B N thirteen: nine seven eight one five nine zero five nine eight one one one.,Kokoro-82M,af_heart,af_heart\ISBN\332.wav,generated
333,ISBN,The ISBN-10 is 0-7475-3269-9.,The I S B N ten is zero seven four seven five three two six nine nine.,Kokoro-82M,af_heart,af_heart\ISBN\333.wav,generated
334,ISBN,The ISBN 978-0-385-50420-5 is correct.,The I S B N nine seven eight zero three eight five five zero four two zero five is correct.,Kokoro-82M,af_heart,af_heart\ISBN\334.wav,generated
335,ISBN,The ISBN-13: 978-0-399-15559-7.,The I S B N thirteen: nine seven eight zero three nine nine one five five five nine seven.,Kokoro-82M,af_heart,af_heart\ISBN\335.wav,generated
336,ISBN,The ISBN-10: 0-385-50420-9.,The I S B N ten: zero three eight five five zero four two zero nine.,Kokoro-82M,af_heart,af_heart\ISBN\336.wav,generated
337,ISBN,The ISBN 978-0-545-01022-1 is assigned.,The I S B N nine seven up zero five four five zero one zero two two one is assigned.,Kokoro-82M,af_heart,af_heart\ISBN\337.wav,generated
338,ISBN,The ISBN-13 is 978-0-06-112008-4.,The I S B N thirteen is nine seven eight zero zero six one one two zero zero eight four.,Kokoro-82M,af_heart,af_heart\ISBN\338.wav,generated
339,ISBN,The ISBN-10 is 0-06-112008-1.,The I S B N ten is zero zero six one one two zero zero eight one.,Kokoro-82M,af_heart,af_heart\ISBN\339.wav,generated
340,ISBN,The ISBN 978-0-14-303995-0 is registered.,The I S B N nine seven eight zero one four three zero three nine nine five zero is registered.,Kokoro-82M,af_heart,af_heart\ISBN\340.wav,generated
341,Chemical Formula,Water is H₂O.,Water is H two O.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\341.wav,generated
342,Chemical Formula,The formula for salt is NaCl.,The formula for salt is N a C l.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\342.wav,generated
343,Chemical Formula,Carbon dioxide is CO₂.,Carbon dioxide is C O two.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\343.wav,generated
344,Chemical Formula,Glucose is C₆H₁₂O₆.,Glucose is C six H twelve O six.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\344.wav,generated
345,Chemical Formula,Sulfuric acid is H₂SO₄.,Sulfuric acid is H two S O four.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\345.wav,generated
346,Chemical Formula,Methane is CH₄.,Methane is C H four.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\346.wav,generated
347,Chemical Formula,Ammonia is NH₃.,Ammonia is N H three.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\347.wav,generated
348,Chemical Formula,Ethanol is C₂H₅OH.,Ethanol is C two H five O H.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\348.wav,generated
349,Chemical Formula,Hydrogen peroxide is H₂O₂.,Hydrogen peroxide is H two O two.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\349.wav,generated
350,Chemical Formula,Calcium carbonate is CaCO₃.,Calcium carbonate is C a C O three.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\350.wav,generated
351,Chemical Formula,Nitric acid is HNO₃.,Nitric acid is H N O three.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\351.wav,generated
352,Chemical Formula,Ozone is O₃.,Ozone is O three.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\352.wav,generated
353,Chemical Formula,The formula for rust is Fe₂O₃.,The formula for rust is F e two O three.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\353.wav,generated
354,Chemical Formula,Benzene is C₆H₆.,Benzene is C six H six.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\354.wav,generated
355,Chemical Formula,Acetic acid is CH₃COOH.,Acetic acid is C H three C O O H.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\355.wav,generated
356,Chemical Formula,Sodium bicarbonate is NaHCO₃.,Sodium bicarbonate is N a H C O three.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\356.wav,generated
357,Chemical Formula,Propane is C₃H₈.,Propane is C three H eight.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\357.wav,generated
358,Chemical Formula,The formula for quartz is SiO₂.,The formula for quartz is S i O two.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\358.wav,generated
359,Chemical Formula,Hydrochloric acid is HCl.,Hydrochloric acid is H C l.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\359.wav,generated
360,Chemical Formula,The formula for aspirin is C₉H₈O₄.,The formula for aspirin is C nine H eight O four.,Kokoro-82M,af_heart,af_heart\Chemical_Formula\360.wav,generated
361,Legal Reference,See Section 5.2 of the contract.,See Section five point two of the contract.,Kokoro-82M,af_heart,af_heart\Legal_Reference\361.wav,generated
362,Legal Reference,The case was filed under No. 2023-CV-1234.,The case was filed under Number twenty twenty three dash C V dash one two three four.,Kokoro-82M,af_heart,af_heart\Legal_Reference\362.wav,generated
363,Legal Reference,"Refer to Article III, Clause 4.","Refer to Article three, Clause four.",Kokoro-82M,af_heart,af_heart\Legal_Reference\363.wav,generated
364,Legal Reference,The statute is codified as 42 U.S.C. § 1983.,The statute is codified as forty two U S C section nineteen eighty three.,Kokoro-82M,af_heart,af_heart\Legal_Reference\364.wav,generated
365,Legal Reference,The regulation is 15 CFR Part 12.,The regulation is fifteen C F R Part twelve.,Kokoro-82M,af_heart,af_heart\Legal_Reference\365.wav,generated
366,Legal Reference,The ruling was in Case No. 99-12345.,The ruling was in Case Number ninety nine dash one two three four five.,Kokoro-82M,af_heart,af_heart\Legal_Reference\366.wav,generated
367,Legal Reference,The amendment is the 14th Amendment.,The amendment is the fourteenth Amendment.,Kokoro-82M,af_heart,af_heart\Legal_Reference\367.wav,generated
368,Legal Reference,The provision is in Paragraph 7(b).,The provision is in Paragraph seven b.,Kokoro-82M,af_heart,af_heart\Legal_Reference\368.wav,generated
369,Legal Reference,The citation is 123 F.3d 456 (1999).,The citation is one twenty three F three d four five six nineteen ninety nine.,Kokoro-82M,af_heart,af_heart\Legal_Reference\369.wav,generated
370,Legal Reference,The law is Public Law 107-296.,The law is Public Law one oh seven dash two nine six.,Kokoro-82M,af_heart,af_heart\Legal_Reference\370.wav,generated
371,Legal Reference,The order is Docket No. 2022-5678.,The order is Docket Number twenty twenty two dash five six seven eight.,Kokoro-82M,af_heart,af_heart\Legal_Reference\371.wav,generated
372,Legal Reference,The rule is found in 29 CFR § 1910.120.,The rule is found in twenty nine C F R section nineteen ten point one twenty.,Kokoro-82M,af_heart,af_heart\Legal_Reference\372.wav,generated
373,Legal Reference,The judgment is Case No. 1:22-cv-00123.,The judgment is Case Number one colon twenty two dash C V dash zero zero one two three.,Kokoro-82M,af_heart,af_heart\Legal_Reference\373.wav,generated
374,Legal Reference,The code is California Penal Code § 187.,The code is California Penal Code section one eighty seven.,Kokoro-82M,af_heart,af_heart\Legal_Reference\374.wav,generated
375,Legal Reference,The decision is 543 U.S. 551 (2005).,The decision is five forty three U S five fifty one two thousand five.,Kokoro-82M,af_heart,af_heart\Legal_Reference\375.wav,generated
376,Legal Reference,The act is the Sarbanes-Oxley Act of 2002.,The act is the Sarbanes-Oxley Act of two thousand two.,Kokoro-82M,af_heart,af_heart\Legal_Reference\376.wav,generated
377,Legal Reference,"The reference is to Title 18, U.S. Code.","The reference is to Title eighteen, U S Code.",Kokoro-82M,af_heart,af_heart\Legal_Reference\377.wav,generated
378,Legal Reference,The filing is Document No. 45-6789.,The filing is Document Number forty five dash six seven eight nine.,Kokoro-82M,af_heart,af_heart\Legal_Reference\378.wav,generated
379,Legal Reference,The regulation is 40 CFR Part 60.,The regulation is forty C F R Part sixty.,Kokoro-82M,af_heart,af_heart\Legal_Reference\379.wav,generated
380,Legal Reference,"The case is Smith v. Jones, 123 F.2d 456.","The case is Smith versus Jones, one twenty three F two d four five six.",Kokoro-82M,af_heart,af_heart\Legal_Reference\380.wav,generated
381,Vehicle or Product Code,The model number is ABC-1234.,The model number is A B C one two three four.,Kokoro-82M,af_heart,af_heart\Vehicle_or_Product_Code\381.wav,generated
382,Vehicle or Product Code,The VIN is 1HGCM82633A123456.,The vin is one H G C M eight two six three three A one two three four five six.,Kokoro-82M,af_heart,af_heart\Vehicle_or_Product_Code\382.wav,generated
383,Vehicle or Product Code,The serial number is SN-987654.,The serial number is S N nine eight seven six five four.,Kokoro-82M,af_heart,af_heart\Vehicle_or_Product_Code\383.wav,generated
384,Vehicle or Product Code,The product code is PC-456-789.,The product code is P C four five six seven eight nine.,Kokoro-82M,af_heart,af_heart\Vehicle_or_Product_Code\384.wav,generated
385,Vehicle or Product Code,The chassis number is CH-123-XYZ.,The chassis number is C H one two three X Y Z.,Kokoro-82M,af_heart,af_heart\Vehicle_or_Product_Code\385.wav,generated
386,Vehicle or Product Code,The part number is P/N 7890-12.,The part number is P N seven eight nine zero one two.,Kokoro-82M,af_heart,af_heart\Vehicle_or_Product_Code\386.wav,generated
387,Vehicle or Product Code,The batch code is BC-2023-05.,The batch code is B C twenty twenty three zero five.,Kokoro-82M,af_heart,af_heart\Vehicle_or_Product_Code\387.wav,generated
